Columna1
Capital Improvement Program (CIP), San Diego County, CA
CO2 CAPTURE
Corpus Christi SWRO, TX
Foix SWRO, Tarragona
WIP Project. Jordan lake Intake, NC
Travilah Quarry Conversion Project  (Rockville Quarry) - Maryland, USA
Philippines - Iloilo Project
Tainan Desalination
Gabal
Sitra Independent Water and Power Project (Sitra IWPP)
Laayoune SWRO
Record-breaking mega desal plant in Morocco
Alexandría West WWTP Project
GLWA’s Capital Improvement Plan (CIP), MI
Quriyat Water Treatment Plant
COQUIMBA CHILE
Mining Dewatering Project
AQABA-AMMAN WATER DESALINATION AND CONVEYANCE PROJECT (AAWDCP)
Qatar South
Northern Water Supply Project
Harbor Island SWRO, TX
Capital Express Central Project
DCA
Marty Leonard Wetlands Water Project, TX
Kachess Drought Relief Pumping Plant, WA
Projects in the Area of Austin, TX
Projects in the Area of El Paso, TX
Atlanta - Department of Watershed Management (DWM), GA
Infrastructure Improvement Program, MA
New York City DEP, NY - Projects (Included Red Rook WWTP), NY
Pacheco Reservoir Expansion Project, CA
North Field Production Sustainability (NFPSH) Package 4
6th October City West (phase 3)
El Alamein
Qatar West
Qatar North
Ras Al Khayma Storm Water Plant
SP Energy - FPSO Upgrade
Bul Hanine Offshore Oilfield Expansion(Package 1)
RP 2x Endless Junction
